,sp500,nasdaq,russell2000,eurostoxx,nikkei,ftse
2018-01-01,3016.4014245903372,7977.792554516651,1499.1276364553462,399.3272172944811,23318.685976486515,7580.92765542223
2018-01-02,3013.739018952405,7988.9924865905405,1499.1077323956383,401.48421308410843,23499.307384995565,7579.187865220458
2018-01-03,3034.7655306559036,8043.2478964878,1471.1595456249918,406.7138266526106,23473.470922423683,7566.3912741416825
2018-01-04,3082.5032985251005,7897.258521106873,1495.940228521055,407.3495781149302,23551.60881631133,7581.676278140516
2018-01-05,3076.8267646749086,7851.860087048088,1497.2186320460728,405.5607804329316,23426.69899455246,7505.5003921573525
2018-01-08,3071.1611894998387,7931.408664738013,1505.1135009800523,401.65577356440576,23467.15011116508,7494.673815925978
2018-01-09,3121.1969411840587,7816.788125948689,1521.4696408524444,395.97151991210666,23492.886512994082,7547.146107729736
2018-01-10,3146.710688946555,7849.014360725518,1504.9878842556664,398.72854951518445,23718.496079155528,7593.014070576199
2018-01-11,3133.5110436069467,7725.949808550096,1513.4281435967875,401.1527334638563,23945.913577383864,7576.822663292568
2018-01-12,3152.078978012715,7773.828754037038,1509.5779037013854,403.5891888468841,24067.864969997867,7593.9422198934335
2018-01-15,3139.0477258261876,7775.168201930413,1524.2426658323022,403.191009987631,23994.643261157198,7539.859279237355
2018-01-16,3125.997770451158,7629.1382444081155,1489.1858441643258,408.9846017024551,24173.33885097377,7589.859323236113
2018-01-17,3135.1245045508704,7740.347218001037,1488.158250381268,407.12732698612024,24161.88792999142,7586.82039725961
2018-01-18,3076.7083490121486,7676.759499917808,1478.885495824964,411.13862729517854,23923.212294759818,7570.254096457354
2018-01-19,3025.1760122201267,7606.724198499578,1486.508991512123,411.1026818767327,23841.126154790905,7547.880100518541
2018-01-22,3009.678412771934,7629.596327811281,1494.789569128967,408.7250663724813,23869.80718084974,7545.872026250934
2018-01-23,2980.7002923917785,7739.337757246227,1483.752215085938,411.26950378425465,24085.75851858799,7517.719141330132
2018-01-24,2991.557413699475,7649.639902001525,1472.7221309384995,413.0775930680226,24053.39887725404,7564.504067567937
2018-01-25,2965.8891308568936,7659.891629629284,1471.5184470794436,414.67609082783133,23786.709517033516,7539.862302726909
2018-01-26,2925.484713449729,7703.90381966541,1457.5933731011035,415.13753583834887,23809.046331252175,7650.220830852836
2018-01-29,2969.824786494118,7772.6015891799225,1471.6763788525961,415.10476869340795,23844.232110870213,7753.3985523399515
2018-01-30,2964.6045383534865,7793.722069088771,1466.2881607303282,425.143546160559,23895.865781520228,7693.512143873379
2018-01-31,2968.0887848435104,7764.072146697021,1419.987369491508,430.30587992143626,24114.244827507,7700.646633306546
2018-02-01,2927.285038108669,7691.624947812828,1414.7006959909968,433.5453383161888,24357.31088792166,7657.862536811757
2018-02-02,2912.8130465826493,7704.190960060808,1399.105060941577,434.1601019563511,24229.55671223679,7637.647096340855
2018-02-05,2917.500420770617,7609.693910428028,1374.5591142247204,438.66302471590933,24097.424147754817,7777.582899474771
2018-02-06,2885.3789285166636,7347.492730960586,1356.398861169124,441.0668751773133,23868.935076823418,7758.386714597469
2018-02-07,2897.6619294371226,7390.392666451299,1358.5738375061533,441.3147757240749,24036.942516567764,7785.867186714672
2018-02-08,2881.706281750594,7474.992103097328,1378.9728903968619,440.1074959355665,24377.396747353523,7826.134848175088
2018-02-09,2874.7413777802026,7267.522282809253,1384.2750814437038,439.8834049157822,24314.179372989172,7758.0031450106535
2018-02-12,2858.8812395144946,7183.823911425544,1375.5935486779808,426.0691932599502,24268.138277198334,7700.626045536398
2018-02-13,2913.265113654798,7241.508947993242,1383.0423136640645,427.09431931492236,24616.008310686575,7619.352087787174
2018-02-14,2914.328536272023,7424.646315614511,1376.611176016444,425.1361940213533,24744.08046901545,7560.883186764129
2018-02-15,2884.9605291063294,7430.953734504841,1366.643679545244,432.0347514935795,24856.52348934208,7369.2127491023875
2018-02-16,2910.133105419232,7370.4952326472585,1349.8367101281824,432.24793502728795,24585.246679744294,7407.541805064906
2018-02-19,2876.0599967487265,7358.741081620071,1324.3651336468852,427.2383395786265,24753.60440002735,7546.712808399727
2018-02-20,2883.5050690508037,7484.56464132188,1319.2144647210976,427.15340393822385,24545.01084442402,7559.016868223955
2018-02-21,2828.439634226582,7431.038252251041,1322.035721458111,422.81300813524535,24290.400740026886,7464.934171505158
2018-02-22,2792.286913420384,7364.230958734655,1321.1593963704156,424.94148017279514,24220.09630495621,7423.989101288493
2018-02-23,2799.1799874038647,7325.989079815718,1315.642715359157,426.30531865339486,24094.99875979983,7395.556027752186
2018-02-26,2821.2505861184636,7246.5757735806565,1302.482069376612,430.51653154057544,24053.912037870643,7330.044247464688
2018-02-27,2827.495940049016,7261.5909959251085,1311.7175895471617,427.2408096418483,23734.251770577823,7388.989851941963
2018-02-28,2825.639737529777,7407.5209561062165,1293.2375204043528,427.51427835040977,23959.93495367073,7445.089578105457
2018-03-01,2818.5444517248,7440.684066512967,1304.7942879782133,421.8068695558709,24226.202185167418,7369.901126005492
2018-03-02,2778.2809244236305,7422.616284764076,1290.931648235693,424.89236479647207,23787.71389726964,7420.206076796564
2018-03-05,2759.6707705584436,7401.077817614172,1280.7632538223727,427.22447653473034,24018.344089075137,7524.395520059256
2018-03-06,2748.3384924236857,7266.686902477422,1260.6109088165963,429.47084428340867,23843.00964922229,7655.493242640006
2018-03-07,2778.7659587250387,7348.05430163145,1254.1623500033738,429.60663880433157,24046.65917505755,7855.2013921459875
2018-03-08,2789.7036897628823,7345.5997108083875,1268.1192167574106,431.5174126707621,24040.64169865924,7793.789947323127
2018-03-09,2741.9149453416085,7334.098272221936,1275.8191212083261,438.5698705052017,24056.829894083316,7994.230511221696
2018-03-12,2752.1720096065715,7619.521507541466,1290.0606348873318,437.45110395242637,24024.1504307147,7971.144312710483
2018-03-13,2742.949968875802,7651.409470974786,1297.9862101286883,438.1888441703288,24310.403647154682,7931.032007198093
2018-03-14,2725.753812063534,7586.973182726662,1282.7473742150971,433.5610165469669,24033.846401677296,7956.757510064692
2018-03-15,2743.7894787301343,7552.708202852339,1278.5929640666102,429.9266438005448,24182.242982948024,7917.462649295445
2018-03-16,2773.449829893501,7661.326331714621,1268.1312729645715,430.47614720187187,24444.92589983339,7948.272641801134
2018-03-19,2800.6651416879076,7676.336746459935,1287.1993055889284,435.3574606455437,24621.057231978284,7856.22612302645
2018-03-20,2778.5618016229187,7548.454075348831,1270.7686246503806,434.3723301951543,25174.65283252949,7841.701740999916
2018-03-21,2771.3594255624375,7636.248236562513,1283.7694449198214,433.4778857685242,25058.220208036895,7934.78462353075
2018-03-22,2781.925605604863,7579.604616364848,1296.8927685336432,431.84417157887304,25296.13286910237,7933.090137397188
2018-03-23,2810.455508093313,7754.538656804,1323.5125589375118,429.66440931517633,25280.75633557625,7945.579693691957
2018-03-26,2798.3937570864728,7859.694673719571,1318.0774851047788,431.0606960007906,25587.092303661848,7981.949213670112
2018-03-27,2794.597484752585,7822.220728274837,1328.932569906343,424.7359249833587,25595.458119672483,8068.441253478666
2018-03-28,2765.0771741384506,7947.158773568084,1362.8179187606995,430.303956320287,25511.381648782542,7950.66603569025
2018-03-29,2733.383676407533,7958.398171022098,1354.1039813365187,427.56970903209464,25838.123412753495,7994.87743523485
2018-03-30,2756.9598164416557,8044.613759401372,1331.7809777114044,430.7846205769847,25727.798800687448,7977.982242480975
2018-04-02,2795.729288952071,8096.234387156699,1304.7723124907748,425.4428973240415,25392.799841395077,7992.34054468122
2018-04-03,2795.1139455365155,8018.86450554176,1315.5234175581822,428.4160630231005,25278.27716152736,8070.981591298825
2018-04-04,2824.5613904863103,7961.749357350071,1288.7990167529188,431.4233064765023,25437.0452931538,7986.658559455137
2018-04-05,2836.1883027191384,8064.929885494152,1284.0362476368273,433.2102707510443,25783.608962623548,7916.265748459549
2018-04-06,2819.3095858518573,8037.3695684554605,1290.726647956886,429.03226734055517,25821.142911599203,7780.748227096464
2018-04-09,2830.9081015937295,8003.260727698754,1293.8720596153655,430.23161927669724,26154.826239921505,7744.626644401888
2018-04-10,2875.8639574100857,7916.333543782032,1300.444791888634,425.27080698194436,25827.82129420815,7839.683348440861
2018-04-11,2876.2715812426604,7961.323561813169,1304.1448023433143,424.3234598893376,25729.391391947935,7833.526965083795
2018-04-12,2922.7131178531763,8163.145494787026,1323.0125485008512,428.81879821383217,25669.146958219982,7741.395882613095
2018-04-13,2847.6068406005556,8063.470264089518,1309.6825617797876,432.36385148230755,25651.47851060048,7709.8798184761445
2018-04-16,2872.435195958512,8070.65186067229,1300.4532988047624,432.55920619288844,25682.23198323881,7608.951668137854
2018-04-17,2876.371784181614,8212.264737227611,1289.9205973552785,428.4723583680184,25861.07416316343,7534.180973646699
